,Name,Score rank,Popularity rank,Score,Episodes,Type,Link,Premiered,English name,Japanese name,Synonyms,Status,Aired,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Members Favorites,Members Total,Members Watching,Members Completed,Members On-Hold,Members Dropped,Members Plan to Watch,Members score 10,Members score 9,Members score 8,Members score 7,Members score 6,Members score 5,Members score 4,Members score 3,Members score 2,Members score 1
11,Koe no Katachi,12,24,8.98,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/28851/Koe_no_Katachi,,A Silent Voice  ,聲の形  ,The Shape of Voice  ,  Status:  Finished Airing  ,"  Aired:  Sep 17, 2016  ",,"    Producers:          Shochiku,       Pony Canyon,       Kodansha,       ABC Animation,       Quaras  ","    Licensors:          Eleven Arts,       NYAV Post  ",    Studios:          Kyoto Animation  ,  Source:  Manga  ,"  Genres:      DramaDrama,     SchoolSchool,     ShounenShounen",  Duration:  2 hr. 10 min.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  59,053","1,557,341","33,265","1,303,796","4,639","2,129","213,512",440443,336275,180407,71603,22185,8198,3529,1396,799,2265
12,Clannad: After Story,13,92,8.95,  Episodes:  24  ,  Type:  TV,https://myanimelist.net/anime/4181/Clannad__After_Story,    Premiered:          Fall 2008          ,Clannad ~After Story~  ,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー  ,,  Status:  Finished Airing  ,"  Aired:  Oct 3, 2008 to Mar 27, 2009  ",    Broadcast:    Fridays at 01:59 (JST)      ,"    Producers:          Pony Canyon,       TBS,       Rakuonsha,       Animation Do  ",    Licensors:          Sentai Filmworks  ,    Studios:          Kyoto Animation  ,  Source:  Visual novel  ,"  Genres:      Slice of LifeSlice of Life,     ComedyComedy,     SupernaturalSupernatural,     DramaDrama,     RomanceRomance",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  60,470","962,897","30,912","668,621","17,296","13,800","232,268",254790,137746,83788,39796,16386,7855,4079,1836,1369,2693
13,Gintama,14,119,8.95,  Episodes:  201  ,  Type:  TV,https://myanimelist.net/anime/918/Gintama,    Premiered:          Spring 2006          ,Gintama  ,銀魂  ,"Gin Tama, Silver Soul, Yorinuki Gintama-san  ",  Status:  Finished Airing  ,"  Aired:  Apr 4, 2006 to Mar 25, 2010  ",    Broadcast:    Thursdays at 18:00 (JST)      ,"    Producers:          TV Tokyo,       Aniplex,       Dentsu,       Trinity Sound,       Audio Highs,       Miracle Robo,       Shueisha  ","    Licensors:          Sentai Filmworks,       Crunchyroll  ",    Studios:          Sunrise  ,  Source:  Manga  ,"  Genres:      ActionAction,     ComedyComedy,     HistoricalHistorical,     ParodyParody,     SamuraiSamurai,     Sci-FiSci-Fi,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  47,163","810,463","158,474","244,926","93,435","41,905","271,723",114399,80082,56684,29630,11927,6770,3080,1384,910,2927
14,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,15,896,8.95,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,,,劇場版 銀魂 完結篇 万事屋よ永遠なれ  ,"Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2  ",  Status:  Finished Airing  ,"  Aired:  Jul 6, 2013  ",,"    Producers:          TV Tokyo,       Aniplex,       Dentsu,       Bandai,       Warner Bros. Japan,       Shueisha  ","    Licensors:    None found, add some  ",    Studios:          Sunrise  ,  Source:  Manga  ,"  Genres:      ActionAction,     Sci-FiSci-Fi,     ComedyComedy,     HistoricalHistorical,     ParodyParody,     SamuraiSamurai,     ShounenShounen",  Duration:  1 hr. 50 min.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  1,833","180,376","3,888","128,993","1,327","1,250","44,918",43919,28864,17779,7019,2157,850,358,193,120,1671
15,Kimi no Na wa.,16,9,8.93,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,,Your Name.  ,君の名は。  ,,  Status:  Finished Airing  ,"  Aired:  Aug 26, 2016  ",,"    Producers:          Toho,       Sound Team Don Juan,       Amuse,       JR East Marketing & Communications,       Kadokawa,       voque ting  ","    Licensors:          Funimation,       NYAV Post  ",    Studios:          CoMix Wave Films  ,  Source:  Original  ,"  Genres:      RomanceRomance,     SupernaturalSupernatural,     SchoolSchool,     DramaDrama",  Duration:  1 hr. 46 min.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  68,794","1,926,754","44,332","1,638,015","5,210","2,706","236,491",561997,376300,232061,101240,34997,14286,6016,2405,1259,4255
16,Owarimonogatari 2nd Season,17,527,8.92,  Episodes:  7  ,  Type:  TV,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,    Premiered:          Summer 2017          ,Owarimonogatari Second Season  ,終物語  ,End Story 2nd Season  ,  Status:  Finished Airing  ,"  Aired:  Aug 12, 2017 to Aug 13, 2017  ",    Broadcast:    Not scheduled once per week      ,"    Producers:          Aniplex,       Kodansha  ",    Licensors:          Aniplex of America  ,    Studios:          Shaft  ,  Source:  Light novel  ,"  Genres:      MysteryMystery,     ComedyComedy,     SupernaturalSupernatural,     VampireVampire",  Duration:  22 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  6,405","294,302","12,231","173,080","4,024","1,814","103,153",51785,45305,26645,9761,2948,1017,390,167,123,1203
17,Code Geass: Hangyaku no Lelouch R2,18,41,8.91,  Episodes:  25  ,  Type:  TV,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,    Premiered:          Spring 2008          ,Code Geass: Lelouch of the Rebellion R2  ,コードギアス 反逆のルルーシュ 続編  ,"Code Geass: Hangyaku no Lelouch 2nd Season, Code Geass: Hangyaku no Lelouch Second Season  ",  Status:  Finished Airing  ,"  Aired:  Apr 6, 2008 to Sep 28, 2008  ",    Broadcast:    Sundays at 17:00 (JST)      ,"    Producers:          Bandai Visual,       Mainichi Broadcasting System,       Bandai,       Bandai Namco Entertainment,       Hakuhodo DY Media Partners  ","    Licensors:          Funimation,       Bandai Entertainment  ",    Studios:          Sunrise  ,  Source:  Original  ,"  Genres:      ActionAction,     MilitaryMilitary,     Sci-FiSci-Fi,     Super PowerSuper Power,     DramaDrama,     MechaMecha",  Duration:  24 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  62,253","1,357,090","41,608","1,130,666","19,062","13,336","152,418",382899,265224,158686,69504,24125,10363,5596,2642,1405,2393
18,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,20,1238,8.87,  Episodes:  14  ,  Type:  TV,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,    Premiered:          Summer 2018          ,Gintama.: Silver Soul Arc - Second Half War  ,銀魂. 銀ノ魂篇 後半戦  ,Gintama.: Silver Soul Arc 2  ,  Status:  Finished Airing  ,"  Aired:  Jul 9, 2018 to Oct 8, 2018  ",    Broadcast:    Mondays at 01:35 (JST)      ,"    Producers:          TV Tokyo,       Aniplex,       Dentsu,       Shueisha  ","    Licensors:    None found, add some  ",    Studios:          Bandai Namco Pictures  ,  Source:  Manga  ,"  Genres:      ActionAction,     Sci-FiSci-Fi,     ComedyComedy,     HistoricalHistorical,     ParodyParody,     SamuraiSamurai,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,  Favorites:  804,"127,411","6,557","74,968","1,880","1,166","42,840",23472,17162,11401,4369,1327,561,225,114,67,952
19,Fruits Basket: The Final,19,1110,8.87,  Episodes:  13  ,  Type:  TV,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,    Premiered:          Spring 2021          ,,フルーツバスケット The Final  ,"Fruits Basket 3rd Season, Fruits Basket (2019) 3rd Season, Furuba  ",  Status:  Currently Airing  ,"  Aired:  Apr 6, 2021 to ?  ",    Broadcast:    Tuesdays at 01:30 (JST)      ,    Producers:          TMS Music  ,    Licensors:          Funimation  ,    Studios:          TMS Entertainment  ,  Source:  Manga  ,"  Genres:      Slice of LifeSlice of Life,     ComedyComedy,     SupernaturalSupernatural,     DramaDrama,     RomanceRomance,     ShoujoShoujo",  Duration:  23 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  1,973","143,999","65,196",56,"1,614",535,"76,598",7934,5409,3712,1341,406,176,61,36,32,220
20,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,21,114,8.83,  Episodes:  10  ,  Type:  TV,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,    Premiered:          Fall 2016          ,Haikyu!! 3rd Season  ,ハイキュー!! 烏野高校 VS 白鳥沢学園高校  ,"Haikyuu!! Third Season, Haikyuu!! Karasuno High VS Shiratorizawa Academy  ",  Status:  Finished Airing  ,"  Aired:  Oct 8, 2016 to Dec 10, 2016  ",    Broadcast:    Saturdays at 01:55 (JST)      ,"    Producers:          TOHO animation,       Shueisha  ",    Licensors:          Sentai Filmworks  ,    Studios:          Production I.G  ,  Source:  Manga  ,"  Genres:      ComedyComedy,     SportsSports,     DramaDrama,     SchoolSchool,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  12,242","822,443","30,331","704,912","6,043","3,639","77,518",172413,187696,124148,44354,10499,3430,940,355,196,1340
21,Mob Psycho 100 II,22,96,8.83,  Episodes:  13  ,  Type:  TV,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,    Premiered:          Winter 2019          ,Mob Psycho 100 II  ,モブサイコ100 II  ,"Mob Psycho 100 2nd Season, Mob Psycho Hyaku, Mob Psycho One Hundred  ",  Status:  Finished Airing  ,"  Aired:  Jan 7, 2019 to Apr 1, 2019  ",    Broadcast:    Mondays at 23:00 (JST)      ,"    Producers:          Warner Bros. Japan,       KlockWorx,       BS Fuji,       Hakuhodo DY Music & Pictures,       Shogakukan  ",    Licensors:          Funimation  ,    Studios:          Bones  ,  Source:  Web manga  ,"  Genres:      ActionAction,     Slice of LifeSlice of Life,     ComedyComedy,     SupernaturalSupernatural",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  21,370","950,611","60,515","714,377","12,691","4,697","158,331",166198,221951,140020,43709,9557,2734,788,300,184,1075
22,Fate/stay night Movie: Heaven's Feel - III. Spring Song,23,920,8.81,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,,Fate/stay night: Heaven's Feel - III. Spring Song  ,劇場版「Fate/stay night [Heaven's Feel] III.spring song」  ,Fate/stay night Movie: Heaven's Feel 3  ,  Status:  Finished Airing  ,"  Aired:  Aug 15, 2020  ",,"    Producers:          Aniplex,       Notes,       Kadokawa  ",    Licensors:          Aniplex of America  ,    Studios:          ufotable  ,  Source:  Visual novel  ,"  Genres:      ActionAction,     SupernaturalSupernatural,     MagicMagic,     FantasyFantasy",  Duration:  2 hr. 2 min.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  4,589","175,447","4,733","76,306","1,341",376,"92,691",22813,20098,12983,5173,1742,641,365,218,157,277
23,Gintama.: Shirogane no Tamashii-hen,24,1139,8.81,  Episodes:  12  ,  Type:  TV,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,    Premiered:          Winter 2018          ,Gintama.: Silver Soul Arc  ,銀魂. 銀ノ魂篇  ,,  Status:  Finished Airing  ,"  Aired:  Jan 8, 2018 to Mar 26, 2018  ",    Broadcast:    Mondays at 01:35 (JST)      ,"    Producers:          TV Tokyo,       Aniplex,       Dentsu,       Shueisha  ","    Licensors:    None found, add some  ",    Studios:          Bandai Namco Pictures  ,  Source:  Manga  ,"  Genres:      ActionAction,     ComedyComedy,     HistoricalHistorical,     ParodyParody,     SamuraiSamurai,     Sci-FiSci-Fi,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,  Favorites:  899,"140,596","8,384","83,868","2,285","1,348","44,711",25857,18900,13509,5463,1633,665,321,165,96,1032
24,Kizumonogatari III: Reiketsu-hen,25,450,8.81,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,,,傷物語〈Ⅲ冷血篇〉  ,"Koyomi Vamp, Kizumonogatari Part 3  ",  Status:  Finished Airing  ,"  Aired:  Jan 6, 2017  ",,"    Producers:          Aniplex,       Kodansha  ","    Licensors:    None found, add some  ",    Studios:          Shaft  ,  Source:  Light novel  ,"  Genres:      ActionAction,     MysteryMystery,     SupernaturalSupernatural,     VampireVampire",  Duration:  1 hr. 23 min.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  5,158","336,840","7,467","239,878","2,174","1,029","86,292",60334,67721,41391,14292,4079,1464,619,299,165,662
25,Sen to Chihiro no Kamikakushi,26,40,8.81,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,,Spirited Away  ,千と千尋の神隠し  ,Sen and Chihiro's Spiriting Away  ,  Status:  Finished Airing  ,"  Aired:  Jul 20, 2001  ",,    Producers:          Toho  ,"    Licensors:          Walt Disney Studios,       GKIDS  ",    Studios:          Studio Ghibli  ,  Source:  Original  ,"  Genres:      AdventureAdventure,     SupernaturalSupernatural,     DramaDrama",  Duration:  2 hr. 4 min.  ,  Rating:  PG - Children  ,"  Favorites:  23,660","1,359,056","16,182","1,225,619","3,413","1,536","112,306",350017,278012,202007,84700,24790,8566,2693,967,553,1276
26,Gintama: The Final,27,2609,8.80,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/39486/Gintama__The_Final,,,銀魂 THE FINAL  ,,  Status:  Finished Airing  ,"  Aired:  Jan 8, 2021  ",,"    Producers:    None found, add some  ","    Licensors:    None found, add some  ",    Studios:          Bandai Namco Pictures  ,  Source:  Manga  ,"  Genres:      ActionAction,     Sci-FiSci-Fi,     ComedyComedy,     HistoricalHistorical,     ParodyParody,     DramaDrama,     SamuraiSamurai,     ShounenShounen",  Duration:  1 hr. 44 min.  ,  Rating:  PG-13 - Teens 13 or older  ,  Favorites:  670,"41,190","2,113","5,084",641,221,"33,131",3929,778,547,211,78,50,13,16,22,381
27,Kimetsu no Yaiba Movie: Mugen Ressha-hen,29,238,8.78,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train  ,劇場版 鬼滅の刃 無限列車編  ,"Gekijouban Kimetsu no Yaiba: Mugen Ressha-hen, Kimetsu no Yaiba: Infinity Train, Demon Slayer Movie: Infinity Train  ",  Status:  Finished Airing  ,"  Aired:  Oct 16, 2020  ",,"    Producers:          Aniplex,       Shueisha  ",    Licensors:          Aniplex of America  ,    Studios:          ufotable  ,  Source:  Manga  ,"  Genres:      ActionAction,     HistoricalHistorical,     DemonsDemons,     SupernaturalSupernatural,     ShounenShounen",  Duration:  1 hr. 57 min.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  6,475","550,999","14,538","268,609","3,444",555,"263,853",71914,78465,52020,17154,4597,1687,607,265,189,827
28,Jujutsu Kaisen (TV),28,69,8.78,  Episodes:  24  ,  Type:  TV,https://myanimelist.net/anime/40748/Jujutsu_Kaisen_TV,    Premiered:          Fall 2020          ,,呪術廻戦  ,Sorcery Fight  ,  Status:  Finished Airing  ,"  Aired:  Oct 3, 2020 to Mar 27, 2021  ",    Broadcast:    Saturdays at 01:25 (JST)      ,"    Producers:          TOHO animation,       Shueisha,       dugout  ","    Licensors:    None found, add some  ",    Studios:          MAPPA  ,  Source:  Manga  ,"  Genres:      ActionAction,     DemonsDemons,     SupernaturalSupernatural,     SchoolSchool,     ShounenShounen",  Duration:  23 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  39,152","1,120,205","363,909","563,635","19,821","8,533","164,307",170440,239831,160645,46951,10663,4095,1221,512,327,1263
